0,1,1015,de
1,2424796,1015,fr
2,2,000004458X,de
3,2424797,000004458X,fr
4,3,1002198,de
5,2424798,1002198,fr
6,2424799,1002791,fr
7,4980661,1002791,it
8,4,1002864,de
9,2424800,1002864,fr
10,5,1003704,de
11,2424801,1003704,fr
12,6,1003763,de
13,2424802,1003763,fr
14,2424803,1004271,fr
15,4980662,1004271,it
16,7,000101742X,de
17,2424804,000101742X,fr
18,8,1017519,de
19,2424805,1017519,fr
20,9,000102163X,de
21,2424806,000102163X,fr
22,2424807,1022369,fr
23,4980663,1022369,it
24,2424808,1022857,fr
25,4980664,1022857,it
26,10,1032666,de
27,2424809,1032666,fr
28,11,1034677,de
29,2424810,1034677,fr
30,12,1034936,de
31,2424811,1034936,fr
32,13,1034944,de
33,2424812,1034944,fr
34,14,1035002,de
35,2424813,1035002,fr
36,15,1035029,de
37,2424814,1035029,fr
38,16,1035053,de
39,7536526,1035053,es
40,2424815,1035053,fr
41,17,1035339,de
42,2424816,1035339,fr
43,18,1036866,de
44,7536527,1036866,es
45,2424817,1036866,fr
46,19,1037137,de
47,2424818,1037137,fr
48,20,1037188,de
49,2424819,1037188,fr
50,21,1037994,de
51,2424820,1037994,fr
52,22,000103863X,de
53,2424821,000103863X,fr
54,23,1039466,de
55,2424822,1039466,fr
56,2424823,1040871,fr
57,4980665,1040871,it
58,24,1040979,de
59,2424824,1040979,fr
60,25,1040987,de
61,2424825,1040987,fr
62,26,1041002,de
63,2424826,1041002,fr
64,27,1041991,de
65,2424827,1041991,fr
66,28,000104317X,de
67,2424828,000104317X,fr
68,29,1043331,de
69,2424829,1043331,fr
70,30,000104348X,de
71,2424830,000104348X,fr
72,31,1043498,de
73,2424831,1043498,fr
74,32,1043773,de
75,2424832,1043773,fr
76,33,000104396X,de
77,2424833,000104396X,fr
78,34,1048325,de
79,2424834,1048325,fr
80,35,1049119,de
81,2424835,1049119,fr
82,36,1057774,de
83,2424836,1057774,fr
84,37,1057790,de
85,7536528,1057790,es
86,2424837,1057790,fr
87,38,1057812,de
88,7536529,1057812,es
89,2424838,1057812,fr
90,39,1057987,de
91,2424839,1057987,fr
92,40,1059238,de
93,2424840,1059238,fr
94,41,1060619,de
95,2424841,1060619,fr
96,42,1060694,de
97,7536530,1060694,es
98,2424842,1060694,fr
99,43,1061305,de
100,2424843,1061305,fr
101,44,1063685,de
102,2424844,1063685,fr
103,45,1065440,de
104,2424845,1065440,fr
105,46,1065548,de
106,2424846,1065548,fr
107,47,1066544,de
108,2424847,1066544,fr
109,48,1067087,de
110,2424848,1067087,fr
111,49,1067311,de
112,2424849,1067311,fr
113,7536531,000106875X,es
114,2424850,000106875X,fr
115,4980666,000106875X,it
116,50,1069470,de
117,2424851,1069470,fr
118,51,1070991,de
119,2424852,1070991,fr
120,52,000107119X,de
121,2424853,000107119X,fr
122,53,1072064,de
123,54,1072226,de
124,2424854,1072226,fr
125,55,1072250,de
126,2424855,1072250,fr
127,56,1072498,de
128,2424856,1072498,fr
129,57,1073389,de
130,2424857,1073389,fr
131,58,1073915,de
132,2424858,1073915,fr
133,59,1074504,de
134,2424859,1074504,fr
135,60,1074954,de
136,2424860,1074954,fr
137,61,1075691,de
138,2424861,1075691,fr
139,62,1075969,de
140,2424862,1075969,fr
141,63,1075977,de
142,2424863,1075977,fr
143,64,1077619,de
144,2424864,1077619,fr
145,65,1077732,de
146,2424865,1077732,fr
147,66,1077988,de
148,2424866,1077988,fr
149,67,1078550,de
150,2424867,1078550,fr
151,68,1079131,de
152,2424868,1079131,fr
153,69,1079875,de
154,2424869,1079875,fr
155,70,1080245,de
156,2424870,1080245,fr
157,71,1080350,de
158,2424871,1080350,fr
159,2424872,1080601,fr
160,4980667,1080601,it
161,72,1080814,de
162,2424873,1080814,fr
163,2424874,1081373,fr
164,4980668,1081373,it
165,73,000108142X,de
166,7536532,000108142X,es
167,2424875,000108142X,fr
168,74,1081470,de
169,2424876,1081470,fr
170,75,000108173X,de
171,2424877,000108173X,fr
172,2424878,000108299X,fr
173,4980669,000108299X,it
174,76,1083309,de
175,2424879,1083309,fr
176,77,1083414,de
177,2424880,1083414,fr
178,78,1083902,de
179,2424881,1083902,fr
180,79,1084615,de
181,2424882,1084615,fr
182,80,1084704,de
183,2424883,1084704,fr
184,81,1085190,de
185,2424884,1085190,fr
186,2424885,1085549,fr
187,4980670,1085549,it
188,82,1085727,de
189,2424886,1085727,fr
190,2424887,1085840,fr
191,4980671,1085840,it
192,2424888,1086413,fr
193,4980672,1086413,it
194,83,1086553,de
195,2424889,1086553,fr
196,2424890,000108657X,fr
197,4980673,000108657X,it
198,84,000108660X,de
199,2424891,000108660X,fr
200,85,000108688X,de
201,2424892,000108688X,fr
202,86,1087061,de
203,2424893,1087061,fr
204,87,1087126,de
205,2424894,1087126,fr
206,2424895,1087177,fr
207,4980674,1087177,it
208,88,1087320,de
209,2424896,1087320,fr
210,89,1087495,de
211,2424897,1087495,fr
212,90,1088114,de
213,2424898,1088114,fr
214,91,1088335,de
215,2424899,1088335,fr
216,2424900,1088351,fr
217,4980675,1088351,it
218,92,000108898X,de
219,2424901,000108898X,fr
220,2424902,1089013,fr
221,4980676,1089013,it
